Time (s),ESC signal (탎),Servo 1 (탎),Servo 2 (탎),Servo 3 (탎),Thrust (N),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Overall Efficiency (N/W),App message,Percent throtle,Thrust (gf)
1.5,1200,,,,0.345603969,16.52814463,1.924945268,14337,0,31.70931196,0.010899132,,52.17391304,35.24179705
4.5,1400,,,,0.703240499,16.40283552,4.639890097,19994,0,76.21566551,0.009226981,,60.86956522,71.71057385
7.5,1600,,,,1.029708006,16.2411038,7.73775497,24087,0,125.5171935,0.008203721,,69.56521739,105.0009948
10.5,1800,,,,1.435971997,15.97987391,12.97403224,28255,0,206.5791668,0.006951195,,78.26086957,146.4283927
13.5,2000,,,,1.450042413,15.87283552,13.77432609,28423,0,215.4489196,0.00673033,,86.95652174,147.8631758
16.5,2200,,,,1.544728658,15.79107555,13.8341396,28408,0,218.0154738,0.007085408,,95.65217391,157.5184857
19.5,2300,,,,1.46643509,15.74458495,14.40848063,28392,0,225.7129686,0.006496902,,100,149.5347637
22.5,2200,,,,1.472782522,15.7102625,14.03989895,28487,0,213.4561579,0.006899696,,95.65217391,150.1820216
25.5,2000,,,,1.478150508,15.65300592,14.05331533,28597,0,215.2621684,0.006866745,,86.95652174,150.7294038
28.5,1800,,,,1.423294671,15.66989882,12.73238491,28166,0,198.7643111,0.007160715,,78.26086957,145.1356652
31.5,1600,,,,0.969954182,15.85942053,7.389347207,23630,0,117.0007466,0.008290154,,69.56521739,98.90780052
34.5,1400,,,,0.701708359,15.99141989,4.625344966,19834,0,73.78899056,0.009509662,,60.86956522,71.55433905
37.5,1200,,,,0.366356634,16.12483649,1.886680652,14092,0,30.29170462,0.012094289,,52.17391304,37.35797994
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Full Throtle(ESC),2300,,,,,,,,,,,,,
Minimum Throtle(ESC),1000,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Propeller,5040_KK,,,,,,,,,,,,,
Battery,Zippy,4cell,16.6V,2200mah,30C,,,,,,,,,
Motor,RS2205-2300KV,,,,,,,,,,,,,
ESC,Afro,30A,,,,,,,,,,,,
