Time (s),ESC signal (탎),Servo 1 (탎),Servo 2 (탎),Servo 3 (탎),Thrust (N),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Overall Efficiency (N/W),App message,Percent throtle,Thrust (gf)
1.5,1200,,,,0.695625032,16.35794685,1.995436566,12831,0,32.52201621,0.021389358,,52.17391304,70.93401233
4.5,1400,,,,1.522794581,16.21392846,5.146409089,18274,0,83.2934643,0.018282282,,60.86956522,155.2818323
7.5,1600,,,,2.451796786,16.00328229,9.497448216,22443,0,151.8353132,0.016147738,,69.56521739,250.0136934
10.5,1800,,,,3.691908135,15.6376303,17.16243786,27205,0,268.1332504,0.013768931,,78.26086957,376.4698582
13.5,2000,,,,4.104428805,15.4098797,20.3199729,28351,0,312.9463921,0.013115437,,86.95652174,418.5352597
16.5,2200,,,,3.934847414,15.33151097,19.70803667,27971,0,301.7133613,0.013041674,,95.65217391,401.2427704
19.5,2300,,,,3.9251118,15.27895345,19.37142174,27799,0,296.3318541,0.013245663,,100,400.250014
22.5,2200,,,,3.933254825,15.20139416,19.65447817,27921,0,298.5583643,0.013174157,,95.65217391,401.0803715
25.5,2000,,,,3.870356173,15.15233769,19.37280376,27654,0,293.4577039,0.013188804,,86.95652174,394.666494
28.5,1800,,,,3.410712202,15.23928166,15.99640627,26258,0,243.6019779,0.014001168,,78.26086957,347.795853
31.5,1600,,,,2.258474306,15.50056323,8.860851329,21740,0,137.0869637,0.016474756,,69.56521739,230.3002866
34.5,1400,,,,1.44060654,15.6921828,4.940002026,17847,0,77.38941371,0.018615034,,60.86956522,146.9009845
37.5,1200,,,,0.688233041,15.85442553,1.914644434,12627,0,30.234593,0.022763099,,52.17391304,70.18023902
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Full Throtle(ESC),2300,,,,,,,,,,,,,
Minimum Throtle(ESC),1000,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Propeller,6030R_GF,,,,,,,,,,,,,
Battery,Zippy,4cell,16.6V,2200mah,30C,,,,,,,,,
Motor,RS2205-2300KV,,,,,,,,,,,,,
ESC,Afro,30A,,,,,,,,,,,,
