Time (s),ESC signal (?s),Servo 1 (?s),Servo 2 (?s),Servo 3 (?s),Thrust (N),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Overall Efficiency (N/W),App message,Percent throtle,Thrust (gf),,Prop Diam (m),Mechanical Power(W),Motor & Power Efficiency(%)
1.5,1200,,,,0.351075867,16.70259335,1.945150242,14440,0,32.31722406,1.107761468,,52.17391304,35.79977536,,0.127,2.092881784,0.064760568
4.5,1400,,,,0.687942273,16.57085058,4.689977827,20202,0,77.72075771,0.902597829,,60.86956522,70.15058894,,0.127,5.740784283,0.073864235
7.5,1600,,,,1.013083474,16.40461679,7.885511241,24285,0,129.2028261,0.799562746,,69.56521739,103.3057644,,0.127,10.2591429,0.079403394
10.5,1800,,,,1.447064043,16.1473286,12.28318513,28317,0,199.8475379,0.738360194,,78.26086957,147.5594666,,0.127,17.51357719,0.087634691
13.5,2000,,,,1.521740306,16.05227267,13.53658884,28545,0,217.3986175,0.713777896,,86.95652174,155.1743262,,0.127,18.88661156,0.086875491
16.5,2200,,,,1.466651356,15.95914377,13.97523738,28543,0,220.4152474,0.678523043,,95.65217391,149.5568167,,0.127,17.87037083,0.081075928
19.5,2300,,,,1.44605306,15.90674456,13.99806982,28438,0,219.5165635,0.671732345,,100,147.456375,,0.127,17.49522676,0.079698891
22.5,2200,,,,1.489810831,15.8716168,14.08067249,28374,0,221.376467,0.686244742,,95.65217391,151.9184259,,0.127,18.29531635,0.082643456
25.5,2000,,,,1.46799339,15.8258899,13.91020796,28483,0,221.5404878,0.67569435,,86.95652174,149.693666,,0.127,17.8949044,0.080774871
28.5,1800,,,,1.399460988,15.83036135,12.88416237,28216,0,199.9203276,0.713810934,,78.26086957,142.7053059,,0.127,16.656526,0.08331582
31.5,1600,,,,0.98448446,16.02224463,7.621752237,23813,0,121.9732027,0.823045382,,69.56521739,100.3894765,,0.127,9.827804991,0.080573477
34.5,1400,,,,0.698736268,16.16049641,4.661404934,19721,0,75.19601779,0.947540495,,60.86956522,71.25127011,,0.127,5.87642451,0.078148081
37.5,1200,,,,0.35913895,16.2985999,1.910888316,14201,0,30.99652212,1.181486746,,52.17391304,36.621981,,0.127,2.165394331,0.069859268
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Full Throtle(ESC),2300,,,,,,,,,,,,,,,,,
Minimum Throtle(ESC),1000,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Propeller,5040_GFHD,,,,,,,,,,,,,,,,,
Battery,Turnigy,3cell,11.1V,2700mah,30C,,,,,,,,,,,,,
Motor,RS2205-2300KV,,,,,,,,,,,,,,,,,
ESC,Afro,30A,,,,,,,,,,,,,,,,
