Time (s),ESC signal (?s),Servo 1 (?s),Servo 2 (?s),Servo 3 (?s),Thrust (N),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Overall Efficiency (gf/W),App message,Percent throtle,Thrust (gf),,Prop Diam (m),Mechanical Power(W),Motor & Power Efficiency(%)
1.5,1200,,,,0.217776036,12.46370134,1.353906295,11242,0,16.74701277,1.326026115,,52.17391304,22.20697547,,0.127,1.022488342,0.061054969
4.5,1400,,,,0.453252148,12.40724235,3.336182092,16092,0,41.26855155,1.119953399,,60.86956522,46.21885639,,0.127,3.070103657,0.074393298
7.5,1600,,,,0.656631386,12.34415336,5.345557993,19240,0,65.95212374,1.015248122,,69.56521739,66.95776703,,0.127,5.353350622,0.081170254
10.5,1800,,,,0.963207842,12.23426687,9.112431149,23508,0,111.5261512,0.880689124,,78.26086957,98.2198653,,0.127,9.510935735,0.085279871
13.5,2000,,,,1.160370178,12.15273937,11.36678955,25396,0,138.2784152,0.855699959,,86.95652174,118.3248284,,0.127,12.57587091,0.090946016
16.5,2200,,,,1.145289892,12.12839104,11.1692743,25170,0,135.0151195,0.864992531,,95.65217391,116.7870671,,0.127,12.33151326,0.091334314
19.5,2300,,,,1.10536574,12.10947607,11.03004233,25117,0,133.4862301,0.844401197,,100,112.7159366,,0.127,11.69236145,0.087592267
22.5,2200,,,,1.123283491,12.08945452,11.09022631,25052,0,133.8318523,0.855872801,,95.65217391,114.5430388,,0.127,11.9778066,0.089498923
25.5,2000,,,,1.079207769,12.07812724,10.92701326,25067,0,131.8288277,0.834783744,,86.95652174,110.0485659,,0.127,11.27978514,0.085563874
28.5,1800,,,,0.948682789,12.11158679,8.945962362,23265,0,108.1752497,0.894277761,,78.26086957,96.73872209,,0.127,9.296613269,0.085940299
31.5,1600,,,,0.664625446,12.1939632,5.244130752,19079,0,63.82804015,1.061805,,69.56521739,67.77293428,,0.127,5.451407906,0.085407728
34.5,1400,,,,0.467736721,12.24890209,3.279950439,16075,0,40.03726386,1.191287035,,60.86956522,47.69587178,,0.127,3.218440115,0.080386115
37.5,1200,,,,0.216980949,12.30371983,1.33341358,11319,0,16.25977696,1.360775086,,52.17391304,22.12589916,,0.127,1.016893893,0.062540458
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Full Throtle(ESC),2300,,,,,,,,,,135.2170328,,,,,,,
Minimum Throtle(ESC),1000,,,,,,,,,,114.2034639,,,,,,,
,,,,,,,,,,,103.5264971,,,,,,,
Propeller,5040R_GFHD,,,,,,,,,,89.80529786,,,,,,,
Battery,Zippy,4cell,16.6V,2200mah,30C,,,,,,87.25711213,,,,,,,
Motor,RS2205-2300KV,,,,,,,,,,88.20469075,,,,,,,
ESC,Afro,30A,,,,,,,,,86.1049591,,,,,,,
,,,,,,,,,,,87.2747371,,,,,,,
,,,,,,,,,,,85.12425178,,,,,,,
,,,,,,,,,,,91.19095313,,,,,,,
,,,,,,,,,,,108.2739773,,,,,,,
,,,,,,,,,,,121.4774704,,,,,,,
,,,,,,,,,,,138.7604418,,,,,,,
