Time (s),ESC signal (?s),Servo 1 (?s),Servo 2 (?s),Servo 3 (?s),Thrust (N),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Overall Efficiency (N/W),App message,Percent throtle,Thrust (gf),,Prop Diam (m),Mechanical Power(W),Motor & Power Efficiency(%)
1.5,1200,,,,0.213017435,12.36261036,1.341737526,11154,0,16.43208203,1.321909928,,52.17391304,21.72173321,,0.127,0.989158663,0.060196794
4.5,1400,,,,0.449633074,12.30631435,3.302559789,15612,0,40.53858571,1.131016606,,60.86956522,45.84981354,,0.127,3.033406456,0.074827634
7.5,1600,,,,0.609208177,12.24660438,5.212596661,19217,0,63.62818878,0.97632739,,69.56521739,62.12194552,,0.127,4.784007132,0.075186914
10.5,1800,,,,0.950192344,12.13619706,9.002261133,23378,0,109.1273068,0.887886383,,78.26086957,96.89265386,,0.127,9.318811411,0.085393947
13.5,2000,,,,1.106871377,12.05766649,10.99709701,25085,0,132.4232795,0.852338566,,86.95652174,112.8694689,,0.127,11.71625912,0.088475827
16.5,2200,,,,1.09883742,12.0313242,10.92005191,24986,0,131.2600326,0.853650839,,95.65217391,112.0502333,,0.127,11.58893143,0.088289872
19.5,2300,,,,1.094327761,12.01401227,10.84576013,24632,0,130.1193479,0.8576002,,100,111.590376,,0.127,11.51766274,0.088516142
22.5,2200,,,,1.111349825,11.99331519,10.89253083,24784,0,130.4837661,0.868507594,,95.65217391,113.3261435,,0.127,11.78743771,0.090336431
25.5,2000,,,,1.119163139,11.97787666,10.88586149,24638,0,130.2215536,0.876374705,,86.95652174,114.1228798,,0.127,11.91196282,0.091474587
28.5,1800,,,,0.959311341,12.01418782,8.849217847,23125,0,106.1177456,0.921830085,,78.26086957,97.82253277,,0.127,9.45328172,0.089082949
31.5,1600,,,,0.654599635,12.09485235,5.139898328,18975,0,62.05838794,1.075609408,,69.56521739,66.75058608,,0.127,5.32852332,0.085863064
34.5,1400,,,,0.460545411,12.14876184,3.243847865,15907,0,39.26318462,1.196096628,,60.86956522,46.96256224,,0.127,3.144502334,0.080087807
37.5,1200,,,,0.248980237,12.20198385,1.31886328,11113,0,15.98296175,1.588498927,,52.17391304,25.38891844,,0.127,1.249943972,0.078204778
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,134.7972986,,,,,,,
Full Throtle(ESC),2300,,,,,,,,,,115.331597,,,,,,,
Minimum Throtle(ESC),1000,,,,,,,,,,99.55768689,,,,,,,
,,,,,,,,,,,90.53921403,,,,,,,
Propeller,5040R_KK,,,,,,,,,,86.91434549,,,,,,,
Battery,Turnigy,3cell,11.1V,2700mah,30C,,,,,,87.04816007,,,,,,,
Motor,RS2205-2300KV,,,,,,,,,,87.45088281,,,,,,,
ESC,Afro,30A,,,,,,,,,88.5631275,,,,,,,
,,,,,,,,,,,89.36534953,,,,,,,
,,,,,,,,,,,94.0005083,,,,,,,
,,,,,,,,,,,109.6816352,,,,,,,
,,,,,,,,,,,121.9679124,,,,,,,
,,,,,,,,,,,161.981811,,,,,,,
