Time (s),ESC signal (?s),Servo 1 (?s),Servo 2 (?s),Servo 3 (?s),Thrust (N),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Overall Efficiency (gf/W),App message,Percent throtle,Thrust (gf),,Prop Diam (m),Mechanical Power(W),Motor & Power Efficiency(%)
1.5,1200,,,,0.345603969,16.52814463,1.924945268,14337,0,31.70931196,1.111402161,,52.17391304,35.24179705,,0.127,2.044143191,0.064465076
4.5,1400,,,,0.703240499,16.40283552,4.639890097,19994,0,76.21566551,0.940890212,,60.86956522,71.71057385,,0.127,5.933337365,0.077849315
7.5,1600,,,,1.029708006,16.2411038,7.73775497,24087,0,125.5171935,0.836546731,,69.56521739,105.0009948,,0.127,10.51270231,0.083755078
10.5,1800,,,,1.435971997,15.97987391,12.97403224,28255,0,206.5791668,0.708824624,,78.26086957,146.4283927,,0.127,17.31259576,0.083806107
13.5,2000,,,,1.450042413,15.87283552,13.77432609,28423,0,215.4489196,0.686302662,,86.95652174,147.8631758,,0.127,17.56767508,0.081539862
16.5,2200,,,,1.544728658,15.79107555,13.8341396,28408,0,218.0154738,0.722510541,,95.65217391,157.5184857,,0.127,19.31619309,0.088600101
19.5,2300,,,,1.46643509,15.74458495,14.40848063,28392,0,225.7129686,0.66249963,,100,149.5347637,,0.127,17.86641835,0.07915548
22.5,2200,,,,1.472782522,15.7102625,14.03989895,28487,0,213.4561579,0.703573188,,95.65217391,150.1820216,,0.127,17.98254538,0.084244678
25.5,2000,,,,1.478150508,15.65300592,14.05331533,28597,0,215.2621684,0.700213121,,86.95652174,150.7294038,,0.127,18.08094887,0.083995014
28.5,1800,,,,1.423294671,15.66989882,12.73238491,28166,0,198.7643111,0.730189718,,78.26086957,145.1356652,,0.127,17.0838389,0.085950233
31.5,1600,,,,0.969954182,15.85942053,7.389347207,23630,0,117.0007466,0.845360444,,69.56521739,98.90780052,,0.127,9.611032865,0.082145056
34.5,1400,,,,0.701708359,15.99141989,4.625344966,19834,0,73.78899056,0.969715652,,60.86956522,71.55433905,,0.127,5.913957614,0.080146883
37.5,1200,,,,0.366356634,16.12483649,1.886680652,14092,0,30.29170462,1.233274258,,52.17391304,37.35797994,,0.127,2.230998729,0.073650485
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,113.3314802,,,,,,,
Full Throtle(ESC),2300,,,,,,,,,,95.94410041,,,,,,,
Minimum Throtle(ESC),1000,,,,,,,,,,85.30402646,,,,,,,
,,,,,,,,,,,72.27999614,,,,,,,
Propeller,5040_KK,,,,,,,,,,69.98339514,,,,,,,
Battery,Zippy,4cell,16.6V,2200mah,30C,,,,,,73.6755713,,,,,,,
Motor,RS2205-2300KV,,,,,,,,,,67.55616142,,,,,,,
ESC,Afro,30A,,,,,,,,,71.74449864,,,,,,,
,,,,,,,,,,,71.40186717,,,,,,,
,,,,,,,,,,,74.45862942,,,,,,,
,,,,,,,,,,,86.20277508,,,,,,,
,,,,,,,,,,,98.88347725,,,,,,,
,,,,,,,,,,,125.7589756,,,,,,,
