Time (s),ESC signal (?s),Servo 1 (?s),Servo 2 (?s),Servo 3 (?s),Thrust (N),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Overall Efficiency (gf/W),App message,Percent throtle,Thrust (gf),,Prop Diam (m),Mechanical Power(W),Motor & Power Efficiency(%)
1.5,1200,,,,0.522142728,12.17265585,1.47305207,7894,0,17.78861244,2.993136188,,52.17391304,53.24374052,,0.1524,3.16333974,0.177829482
4.5,1400,,,,1.241729155,12.09396457,4.5165416,11917,0,54.47051713,2.324581075,,60.86956522,126.6211351,,0.1524,11.6011837,0.212980972
7.5,1600,,,,2.160584982,11.94498943,9.858807104,15646,0,117.619833,1.873139451,,69.56521739,220.3183536,,0.1524,26.62680244,0.22638021
10.5,1800,,,,3.387437402,11.679902,19.65607151,19032,0,229.2646007,1.50665426,,78.26086957,345.4224839,,0.1524,52.27197436,0.227998453
13.5,2000,,,,3.671686354,11.52541305,23.14466718,19766,0,266.520872,1.404797357,,86.95652174,374.4078104,,0.1524,58.9875488,0.221324313
16.5,2200,,,,3.563382293,11.48104081,22.18706867,19046,0,254.5778458,1.427319319,,95.65217391,363.3638697,,0.1524,56.39694939,0.221531254
19.5,2300,,,,3.431145727,11.44806769,21.49225063,18971,0,245.8712311,1.423019278,,100,349.8794927,,0.1524,53.28693392,0.216726998
22.5,2200,,,,3.448484172,11.41204412,21.53217819,18679,0,245.5822464,1.431893052,,95.65217391,351.647522,,0.1524,53.69135224,0.218628802
25.5,2000,,,,3.299327998,11.40094318,20.63407272,18906,0,235.0709677,1.431218102,,86.95652174,336.4378251,,0.1524,50.2458532,0.213747592
28.5,1800,,,,2.967136582,11.46481455,16.72214911,18132,0,191.5783889,1.579320767,,78.26086957,302.5637279,,0.1524,42.85172346,0.223677231
31.5,1600,,,,1.9675305,11.63088384,9.096373581,15129,0,105.5261175,1.901257004,,69.56521739,200.632275,,0.1524,23.13897925,0.219272535
34.5,1400,,,,1.161082351,11.75727889,4.150145551,11555,0,48.66481327,2.432916949,,60.86956522,118.3974498,,0.1524,10.4895419,0.215546741
37.5,1200,,,,0.553060113,11.83761343,1.455516225,7731,0,17.11119326,3.295879837,,52.17391304,56.3964364,,0.1524,3.448422686,0.201530228
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,305.2149499,,,,,,,
Full Throtle(ESC),2300,,,,,,,,,,237.0413011,,,,,,,
Minimum Throtle(ESC),1000,,,,,,,,,,191.0070668,,,,,,,
,,,,,,,,,,,153.6359776,,,,,,,
Propeller,6045R_GF,,,,,,,,,,143.2494641,,,,,,,
Battery,Turnigy,3cell,12.4V,2700mah,30C,,,,,,145.5460651,,,,,,,
Motor,RS2300-2300KV,,,,,,,,,,145.1075829,,,,,,,
ESC,Afro,30A,,,,,,,,,146.0124561,,,,,,,
,,,,,,,,,,,145.9436303,,,,,,,
,,,,,,,,,,,161.0458992,,,,,,,
,,,,,,,,,,,193.8742592,,,,,,,
,,,,,,,,,,,248.0884858,,,,,,,
,,,,,,,,,,,336.0862105,,,,,,,
