Time (s),ESC signal (탎),Servo 1 (탎),Servo 2 (탎),Servo 3 (탎),Thrust (N),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Overall Efficiency (N/W),App message,Percent throtle,Thrust (gf)
1.5,1200,,,,0,15.83449023,1.713284234,14733,0,26.90769475,0,,52.17391304,0
4.5,1400,,,,0,15.73058469,4.055732608,20735,0,63.63241434,0,,60.86956522,0
7.5,1600,,,,0,15.61249412,6.38664123,24314,0,99.57846709,0,,69.56521739,0
10.5,1800,,,,0,15.36136995,11.55397261,28305,0,171.2536819,0,,78.26086957,0
13.5,2000,,,,0,15.26245995,13.37426439,28454,0,200.0266854,0,,86.95652174,0
16.5,2200,,,,0,15.21459983,12.29691178,28428,0,188.0684287,0,,95.65217391,0
19.5,2300,,,,0,15.14703976,12.8912448,28563,0,187.257578,0,,100,0
22.5,2200,,,,0,15.14712641,12.60520205,27878,0,194.5421356,0,,95.65217391,0
25.5,2000,,,,0,15.10495264,11.3712161,28444,0,174.5952239,0,,86.95652174,0
28.5,1800,,,,0,15.10974343,11.09514499,28082,0,166.6962578,0,,78.26086957,0
31.5,1600,,,,0,15.2920419,6.177413334,24386,0,94.37474119,0,,69.56521739,0
34.5,1400,,,,0,15.39544156,3.966524367,20589,0,60.8797248,0,,60.86956522,0
37.5,1200,,,,0,15.504051,1.67798092,14891,0,25.89984867,0,,52.17391304,0
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Full Throtle(ESC),2300,,,,,,,,,,,,,
Minimum Throtle(ESC),1000,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Propeller,5030_GFHD,,,,,,,,,,,,,
Battery,Zippy,4cell,16.6V,2200mah,30C,,,,,,,,,
Motor,MT2206-1900Kv,,,,,,,,,,,,,
ESC,Afro,30A,,,,,,,,,,,,
