Time (s),ESC signal (탎),Servo 1 (탎),Servo 2 (탎),Servo 3 (탎),Thrust (N),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Overall Efficiency (N/W),App message,Percent throtle,Thrust (gf)
1.5,1200,,,,0.406549753,12.26374576,1.366416154,10053,0,16.61341346,0.024471175,,52.17391304,41.45653745
4.5,1400,,,,0.923344949,12.20499913,3.575406674,14698,0,43.48029547,0.02123594,,60.86956522,94.15498147
7.5,1600,,,,1.460535918,12.12880031,6.238181694,18044,0,75.58920098,0.019322018,,69.56521739,148.9332155
10.5,1800,,,,2.348943287,11.97738879,11.40267118,22212,0,136.4435566,0.017215494,,78.26086957,239.5255553
13.5,2000,,,,2.672099982,11.88213445,13.89174526,23712,0,164.8847143,0.016205868,,86.95652174,272.4783674
16.5,2200,,,,2.645767429,11.85265749,13.75942639,23617,0,162.9378097,0.016237897,,95.65217391,269.7931943
19.5,2300,,,,2.573338093,11.83311875,13.68174329,23529,0,161.757686,0.015908599,,100,262.4074575
22.5,2200,,,,2.648115302,11.81225735,13.8116828,23444,0,162.9234808,0.016253736,,95.65217391,270.0326107
25.5,2000,,,,2.660406037,11.79669558,13.74509877,23390,0,161.9604365,0.016426271,,86.95652174,271.2859169
28.5,1800,,,,2.243023838,11.84674724,11.03195295,21890,0,130.5637318,0.017179532,,78.26086957,228.7247774
31.5,1600,,,,1.436847928,11.95904761,6.076453771,17824,0,72.65387167,0.019776619,,69.56521739,146.5177128
34.5,1400,,,,0.901898499,12.03185186,3.508724857,14641,0,42.11149111,0.021416922,,60.86956522,91.96805219
37.5,1200,,,,0.435592704,12.09380542,1.356893784,10012,0,16.29186269,0.026736826,,52.17391304,44.41809425
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Full Throtle(ESC),2300,,,,,,,,,,,,,
Minimum Throtle(ESC),1000,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Propeller,6030R_GF,,,,,,,,,,,,,
Battery,Turnigy,3cell,11.1V,2700mah,30C,,,,,,,,,
Motor,RS2205-2300KV,,,,,,,,,,,,,
ESC,Afro,30A,,,,,,,,,,,,
