Time (s),ESC signal (탎),Servo 1 (탎),Servo 2 (탎),Servo 3 (탎),Thrust (N),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Overall Efficiency (N/W),App message,Percent throtle,Thrust (gf)
1.5,1200,,,,0.213017435,12.36261036,1.341737526,11154,0,16.43208203,0.012963508,,52.17391304,21.72173321
4.5,1400,,,,0.449633074,12.30631435,3.302559789,15612,0,40.53858571,0.011091484,,60.86956522,45.84981354
7.5,1600,,,,0.609208177,12.24660438,5.212596661,19217,0,63.62818878,0.009574501,,69.56521739,62.12194552
10.5,1800,,,,0.950192344,12.13619706,9.002261133,23378,0,109.1273068,0.008707191,,78.26086957,96.89265386
13.5,2000,,,,1.106871377,12.05766649,10.99709701,25085,0,132.4232795,0.008358586,,86.95652174,112.8694689
16.5,2200,,,,1.09883742,12.0313242,10.92005191,24986,0,131.2600326,0.008371455,,95.65217391,112.0502333
19.5,2300,,,,1.094327761,12.01401227,10.84576013,24632,0,130.1193479,0.008410185,,100,111.590376
22.5,2200,,,,1.111349825,11.99331519,10.89253083,24784,0,130.4837661,0.00851715,,95.65217391,113.3261435
25.5,2000,,,,1.119163139,11.97787666,10.88586149,24638,0,130.2215536,0.0085943,,86.95652174,114.1228798
28.5,1800,,,,0.959311341,12.01418782,8.849217847,23125,0,106.1177456,0.009040065,,78.26086957,97.82253277
31.5,1600,,,,0.654599635,12.09485235,5.139898328,18975,0,62.05838794,0.010548125,,69.56521739,66.75058608
34.5,1400,,,,0.460545411,12.14876184,3.243847865,15907,0,39.26318462,0.011729701,,60.86956522,46.96256224
37.5,1200,,,,0.248980237,12.20198385,1.31886328,11113,0,15.98296175,0.015577853,,52.17391304,25.38891844
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Full Throtle(ESC),2300,,,,,,,,,,,,,
Minimum Throtle(ESC),1000,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Propeller,5040R_KK,,,,,,,,,,,,,
Battery,Turnigy,3cell,11.1V,2700mah,30C,,,,,,,,,
Motor,RS2205-2300KV,,,,,,,,,,,,,
ESC,Afro,30A,,,,,,,,,,,,
