Time (s),ESC signal (탎),Servo 1 (탎),Servo 2 (탎),Servo 3 (탎),Thrust (N),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Overall Efficiency (N/W),App message,Percent throtle,Thrust (gf)
1.5,1200,,,,0,15.69663172,1.826639167,13265,0,28.52880797,0,,52.17391304,0
4.5,1400,,,,0,15.57646824,4.534200359,18830,0,70.49045897,0,,60.86956522,0
7.5,1600,,,,0,15.42227135,7.693777458,23119,0,118.4847731,0,,69.56521739,0
10.5,1800,,,,0,15.16175506,13.50926792,27886,0,203.8331402,0,,78.26086957,0
13.5,2000,,,,0,15.01368167,14.94372345,28611,0,227.7693069,0,,86.95652174,0
16.5,2200,,,,0,14.99250063,14.76403936,28440,0,224.3776802,0,,95.65217391,0
19.5,2300,,,,0,14.89108116,15.19067511,28499,0,221.3379883,0,,100,0
22.5,2200,,,,0,14.85640329,15.13413944,28672,0,225.0266993,0,,95.65217391,0
25.5,2000,,,,0,14.82875204,15.37810111,28426,0,225.1725087,0,,86.95652174,0
28.5,1800,,,,0,14.85351949,13.61282403,27511,0,201.8953231,0,,78.26086957,0
31.5,1600,,,,0,15.07683484,7.403872899,22680,0,111.5962083,0,,69.56521739,0
34.5,1400,,,,0,15.21418078,4.430947639,18580,0,67.26890914,0,,60.86956522,0
37.5,1200,,,,0,15.34505597,1.780671214,13156,0,27.1888743,0,,52.17391304,0
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Full Throtle(ESC),2300,,,,,,,,,,,,,
Minimum Throtle(ESC),1000,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Propeller,6045R_GF,,,,,,,,,,,,,
Battery,Zippy,4cell,16.6V,2200mah,30C,,,,,,,,,
Motor,RS2205-2300KV,,,,,,,,,,,,,
ESC,Afro,30A,,,,,,,,,,,,
