Time (s),ESC signal (탎),Servo 1 (탎),Servo 2 (탎),Servo 3 (탎),Thrust (N),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Overall Efficiency (N/W),App message,Percent throtle,Thrust (gf)
1.5,1200,,,,0.522142728,12.17265585,1.47305207,7894,0,17.78861244,0.029352639,,52.17391304,53.24374052
4.5,1400,,,,1.241729155,12.09396457,4.5165416,11917,0,54.47051713,0.022796353,,60.86956522,126.6211351
7.5,1600,,,,2.160584982,11.94498943,9.858807104,15646,0,117.619833,0.018369223,,69.56521739,220.3183536
10.5,1800,,,,3.387437402,11.679902,19.65607151,19032,0,229.2646007,0.014775231,,78.26086957,345.4224839
13.5,2000,,,,3.671686354,11.52541305,23.14466718,19766,0,266.520872,0.013776356,,86.95652174,374.4078104
16.5,2200,,,,3.563382293,11.48104081,22.18706867,19046,0,254.5778458,0.013997221,,95.65217391,363.3638697
19.5,2300,,,,3.431145727,11.44806769,21.49225063,18971,0,245.8712311,0.013955052,,100,349.8794927
22.5,2200,,,,3.448484172,11.41204412,21.53217819,18679,0,245.5822464,0.014042074,,95.65217391,351.647522
25.5,2000,,,,3.299327998,11.40094318,20.63407272,18906,0,235.0709677,0.014035455,,86.95652174,336.4378251
28.5,1800,,,,2.967136582,11.46481455,16.72214911,18132,0,191.5783889,0.015487846,,78.26086957,302.5637279
31.5,1600,,,,1.9675305,11.63088384,9.096373581,15129,0,105.5261175,0.018644962,,69.56521739,200.632275
34.5,1400,,,,1.161082351,11.75727889,4.150145551,11555,0,48.66481327,0.023858765,,60.86956522,118.3974498
37.5,1200,,,,0.553060113,11.83761343,1.455516225,7731,0,17.11119326,0.03232154,,52.17391304,56.3964364
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Full Throtle(ESC),2300,,,,,,,,,,,,,
Minimum Throtle(ESC),1000,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Propeller,6045R_GF,,,,,,,,,,,,,
Battery,Turnigy,3cell,12.4V,2700mah,30C,,,,,,,,,
Motor,RS2300-2300KV,,,,,,,,,,,,,
ESC,Afro,30A,,,,,,,,,,,,
