  n	    CT
142.600	15.140838
144.217	14.793127
165.367	15.725790
166.933	16.142505
176.650	15.610836
181.583	15.619943
202.517	16.949911
204.250	15.358587
213.517	15.650692
214.983	15.848784
239.467	16.267267
240.433	15.716667
262.633	15.850546
272.200	15.786079
272.883	15.426762
276.000	15.749976
286.617	16.830206
287.850	16.363905
289.217	15.998146
289.567	15.914970
331.117	15.855400
336.383	15.832473
341.667	15.952898
343.017	16.157305
349.367	15.850934
351.867	15.984041
352.400	15.890047
354.267	16.013849
360.067	16.397819
360.750	15.607023
360.967	16.103793
361.050	15.705164
362.933	16.125100
372.033	16.906909
379.517	16.329846
380.250	15.855304
381.000	15.718406
381.133	15.935370
405.750	15.832105
416.733	16.009546
421.300	16.361918
421.650	16.401416
423.167	16.107096
423.233	15.769774
426.600	16.179807
427.133	16.341927
429.450	15.487812
450.583	15.971033
451.033	15.767311
452.317	15.560285
452.733	15.640477
453.483	15.732225
