  n	    CQ
332.900	1.249106
334.167	1.224498
335.717	1.210376
336.817	1.213992
336.883	1.227275
337.217	1.238659
337.267	1.202847
340.117	1.207783
340.717	1.211016
363.450	1.272375
364.667	1.261976
365.350	1.261251
365.717	1.224781
366.300	1.258486
366.567	1.249549
366.750	1.258698
367.217	1.258970
368.200	1.241220
369.033	1.239770
385.117	1.276742
389.450	1.226868
390.300	1.248983
390.767	1.271301
390.900	1.234362
394.150	1.223169
395.950	1.226052
400.233	1.201308
400.500	1.228100
403.117	1.222967
410.533	1.267024
410.633	1.271089
413.067	1.256927
416.433	1.239811
417.533	1.252506
417.783	1.232597
418.083	1.238723
418.617	1.239270
419.500	1.249634
423.267	1.249198
439.683	1.268164
441.617	1.266545
441.733	1.246793
441.817	1.283544
443.700	1.288855
450.350	1.267076
450.400	1.256051
452.050	1.274164
452.817	1.239445
454.883	1.259745
472.900	1.239671
473.200	1.266924
473.467	1.215052
473.717	1.208522
473.967	1.226858
474.717	1.215308
474.783	1.226294
475.717	1.215862
476.617	1.218041
