  n	    CT
222.400	9.663562
223.750	9.554559
234.867	9.448736
236.683	9.120940
238.950	8.611466
239.783	9.011640
240.667	8.623460
248.317	8.926610
254.317	9.606023
258.333	9.439905
260.200	9.448353
261.250	8.918875
265.117	9.322037
267.917	9.270741
268.200	8.964679
273.050	9.286756
273.500	9.659042
273.900	9.305311
275.667	8.655551
277.917	8.730300
278.050	9.189092
281.850	8.682318
302.833	8.821275
304.433	8.634465
311.767	9.770271
314.200	9.245451
314.450	9.170504
316.250	9.311660
317.983	9.351487
318.667	9.217637
319.800	8.945365
320.667	9.085032
325.300	9.998102
328.683	9.201749
330.567	9.135892
332.900	9.322015
333.233	9.009889
333.833	9.608533
334.167	9.325888
335.717	9.025842
336.700	8.633327
336.817	8.868475
336.883	9.214662
337.217	9.336780
337.267	8.952321
339.083	9.428752
339.100	9.230765
340.117	8.639145
340.500	8.754292
340.717	8.855220
342.717	9.138350
343.367	8.700518
347.883	9.081596
360.033	9.659974
363.450	9.647127
364.667	9.473410
365.350	9.379955
365.717	8.954513
366.300	8.915601
366.567	8.974360
366.750	9.038811
367.217	9.045544
369.417	9.173478
384.033	9.328555
385.117	9.213625
385.417	9.187790
387.750	8.976972
387.967	8.766540
389.450	8.941812
389.633	8.904546
390.300	9.304317
390.767	9.740399
390.900	9.149413
391.800	8.926960
393.833	8.896900
394.150	8.934918
395.950	8.825514
396.883	8.891921
400.500	9.037216
401.450	9.089994
403.117	8.967019
404.750	8.798000
410.533	9.237682
410.633	9.442727
411.633	9.677392
413.067	9.266654
416.433	9.014775
417.533	9.166837
417.783	8.796609
418.083	9.009151
418.617	8.973986
419.367	9.224812
419.500	9.258997
422.033	9.248000
423.267	9.214693
428.350	9.373129
439.683	9.590211
441.617	9.269758
441.733	9.547851
441.817	9.680445
443.700	9.571135
450.350	9.333255
450.400	9.488423
452.050	9.795992
452.817	9.159186
454.883	9.330036
469.433	9.188813
470.267	9.002950
470.917	9.212347
471.950	9.242899
472.900	9.477743
473.200	9.317208
473.467	9.803606
473.717	9.192969
473.967	9.158009
474.717	9.267606
474.783	9.295230
475.717	9.220248
475.750	9.565229
476.617	9.257477
