  n	    CT
216.233	21.430440
229.133	21.438389
240.600	20.416254
248.567	20.863106
253.017	20.896964
270.300	20.404055
272.117	21.375871
276.017	20.529430
294.200	20.949314
304.683	21.068785
309.017	21.066115
311.800	20.841587
321.767	21.452105
325.633	20.801544
327.583	20.684077
327.650	20.882063
330.183	20.622180
335.883	20.442351
336.883	20.766036
338.550	20.237780
344.450	20.196157
354.183	21.168213
360.800	20.579823
361.750	20.880237
362.300	20.512097
363.400	20.857408
373.117	20.943033
373.500	21.257382
375.483	21.120031
380.150	20.877489
383.300	20.907949
386.883	21.030730
417.617	20.537202
424.950	20.973912
448.600	20.648573
450.250	20.811706
450.600	20.484617
451.567	20.867297
453.717	20.809177
